uid,province_id,province,year,co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gfindex,green_finance_pilot
3100,1,Shanghai,2000,71538175.19,4880,98,109,0.024,0.067,0.12,0.007,0.034,0.03,6.212,0.168,0
3101,1,Shanghai,2001,69645920.86,5348.1,165,202,0.024,0.069,0.095,0.011,0.037,0.03,6.25,0.136,0
3102,1,Shanghai,2002,80866286.07,5908.1,272,230,0.025,0.076,0.101,0.01,0.038,0.035,5.533,0.226,0
3103,1,Shanghai,2003,92319351.45,6952.5,382,254,0.024,0.079,0.116,0.009,0.04,0.037,4.827,0.194,0
3104,1,Shanghai,2004,108254088.2,8309.4,451,354,0.025,0.084,0.081,0.013,0.04,0.039,4.367,0.19,0
3105,1,Shanghai,2005,115370448,9398.8,689,474,0.027,0.083,0.095,0.015,0.045,0.039,3.923,0.193,0
3106,1,Shanghai,2006,124628480,10825.4,903,503,0.028,0.091,0.077,0.015,0.045,0.039,3.814,0.211,0
3107,1,Shanghai,2007,127207432,13179.8,1210,646,0.034,0.095,0.073,0.009,0.051,0.043,3.074,0.3,0
3108,1,Shanghai,2008,133276677.8,14877.1,1433,944,0.032,0.099,0.082,0.012,0.053,0.047,2.955,0.344,0
3109,1,Shanghai,2009,149620546.7,16181.4,1731,1313,0.031,0.098,0.069,0.018,0.049,0.043,2.706,0.109,0
3110,1,Shanghai,2010,167517170.3,18319.6,2107,1547,0.034,0.098,0.056,0.026,0.054,0.045,2.609,0.182,0
3111,1,Shanghai,2011,174438236.8,20406.1,2435,1793,0.037,0.111,0.064,0.024,0.054,0.047,2.51,0.246,0
3112,1,Shanghai,2012,179224048.6,21774.9,2797,2113,0.035,0.106,0.066,0.024,0.055,0.048,2.305,0.111,0
3113,1,Shanghai,2013,181945393.6,23809.4,3216,1995,0.04,0.109,0.059,0.022,0.059,0.051,2.356,0.196,0
3114,1,Shanghai,2014,186258094.7,25964.5,3433,2338,0.036,0.115,0.072,0.031,0.057,0.05,2.191,0.139,0
3115,1,Shanghai,2015,193922502.3,27821.6,4423,3043,0.04,0.121,0.065,0.038,0.061,0.057,1.965,0.266,0
3116,1,Shanghai,2016,181333613.2,30963.9,5144,3798,0.04,0.128,0.052,0.055,0.064,0.059,1.789,0.264,0
3117,1,Shanghai,2017,183883762.2,34378.3,6228,4934,0.037,0.121,0.05,0.078,0.063,0.059,1.849,0.164,0
3118,1,Shanghai,2018,188922189.7,37769.1,7335,5421,0.041,0.131,0.057,0.08,0.071,0.062,1.813,0.265,0
3119,1,Shanghai,2019,196674965.8,40241.2,8838,7331,0.047,0.141,0.059,0.071,0.072,0.068,1.514,0.366,0
3120,1,Shanghai,2020,193113587.5,41603.9,10179,9166,0.052,0.143,0.063,0.069,0.078,0.064,1.566,0.433,0
3121,1,Shanghai,2021,202709667.9,47059.4,11437,8842,0.049,0.151,0.052,0.056,0.078,0.066,1.431,0.349,0
3122,1,Shanghai,2022,196101244.4,48594.5,11055,7100,0.049,0.156,0.053,0.057,0.079,0.066,1.391,0.381,0
3123,1,Shanghai,2023,205270742.6,51404.5,11219,7742,0.05,0.152,0.053,0.058,0.08,0.065,1.321,0.393,0
5300,2,Yunnan,2000,72648407.07,2052.3,27,40,0.025,0.068,0.261,0.015,0.034,0.033,4.057,0.284,0
5301,2,Yunnan,2001,75648291.05,2186.4,42,30,0.027,0.076,0.229,0.016,0.037,0.032,3.023,0.351,0
5302,2,Yunnan,2002,79207724.23,2392,46,43,0.027,0.077,0.27,0.019,0.04,0.036,3.422,0.388,0
5303,2,Yunnan,2003,94204005.04,2673.6,66,47,0.027,0.077,0.228,0.019,0.041,0.034,3.063,0.252,0
5304,2,Yunnan,2004,109501158.9,3185.3,59,38,0.026,0.082,0.215,0.027,0.044,0.036,1.645,0.299,0
5305,2,Yunnan,2005,119960510,3553.3,90,38,0.028,0.086,0.275,0.02,0.047,0.041,1.784,0.339,0
5306,2,Yunnan,2006,142414875.3,4157.7,97,73,0.033,0.088,0.221,0.018,0.045,0.042,1.99,0.306,0
5307,2,Yunnan,2007,161465059.9,5166,107,62,0.028,0.094,0.189,0.015,0.049,0.043,1.78,0.222,0
5308,2,Yunnan,2008,165360706.5,6120.6,163,114,0.035,0.097,0.185,0.029,0.05,0.048,1.309,0.423,0
5309,2,Yunnan,2009,170803511.1,6690.2,172,146,0.031,0.097,0.152,0.043,0.052,0.045,1.218,0.217,0
5310,2,Yunnan,2010,181827081.4,7869.9,236,182,0.033,0.1,0.14,0.042,0.053,0.045,1.279,0.204,0
5311,2,Yunnan,2011,197174329.7,9666.2,264,230,0.033,0.102,0.139,0.042,0.056,0.049,0.721,0.168,0
5312,2,Yunnan,2012,212927885.9,11266.3,361,302,0.041,0.114,0.127,0.043,0.061,0.054,0.786,0.447,0
5313,2,Yunnan,2013,222280623.6,13027,413,358,0.038,0.11,0.115,0.051,0.06,0.052,0.861,0.245,0
5314,2,Yunnan,2014,219311997.2,14275.1,557,574,0.043,0.119,0.128,0.048,0.061,0.053,0.718,0.339,0
5315,2,Yunnan,2015,214986350.3,15358.6,706,773,0.04,0.124,0.11,0.054,0.065,0.054,0.684,0.317,0
5316,2,Yunnan,2016,210642417.6,16773.6,973,1016,0.039,0.117,0.102,0.054,0.058,0.053,0.612,0.115,0
5317,2,Yunnan,2017,212542299.1,18864.6,1094,1448,0.041,0.138,0.134,0.07,0.069,0.064,0.575,0.417,0
5318,2,Yunnan,2018,217358232.5,21427.5,1362,1881,0.043,0.135,0.106,0.065,0.072,0.057,0.747,0.29,0
5319,2,Yunnan,2019,216829878.7,23902.1,1378,1861,0.041,0.138,0.091,0.074,0.068,0.061,0.517,0.221,0
5320,2,Yunnan,2020,215735429.4,25214.5,1584,2672,0.044,0.132,0.08,0.056,0.071,0.06,0.554,0.17,0
5321,2,Yunnan,2021,219190745.8,27895.3,1585,2390,0.048,0.142,0.077,0.049,0.077,0.062,0.479,0.271,0
5322,2,Yunnan,2022,212591576.9,29301.1,1919,2416,0.047,0.146,0.077,0.05,0.075,0.062,0.432,0.271,0
5323,2,Yunnan,2023,224286167.5,30595.8,2319,2532,0.048,0.146,0.076,0.05,0.075,0.061,0.401,0.281,0
1500,3,Neimenggu,2000,140109202.8,1551.3,11,21,0.024,0.071,0.364,0.032,0.037,0.033,3.523,0.455,0
1501,3,Neimenggu,2001,142679832.3,1729.5,15,27,0.024,0.07,0.322,0.032,0.038,0.03,4.075,0.278,0
1502,3,Neimenggu,2002,156339684.1,1959.7,12,28,0.026,0.078,0.311,0.028,0.04,0.035,2.772,0.413,0
1503,3,Neimenggu,2003,193669046.1,2415.1,15,36,0.026,0.082,0.282,0.032,0.04,0.038,3.44,0.39,0
1504,3,Neimenggu,2004,228895004.3,2976.2,30,31,0.029,0.083,0.226,0.022,0.042,0.039,2.543,0.344,0
1505,3,Neimenggu,2005,275958206,3562.7,23,39,0.028,0.088,0.261,0.027,0.047,0.038,1.973,0.358,0
1506,3,Neimenggu,2006,328438311.5,4212.3,37,48,0.03,0.085,0.168,0.032,0.044,0.041,1.749,0.261,0
1507,3,Neimenggu,2007,386697371.9,5239.6,43,42,0.033,0.095,0.17,0.03,0.05,0.046,1.508,0.41,0
1508,3,Neimenggu,2008,397196539.4,6352.4,35,50,0.033,0.093,0.126,0.042,0.047,0.041,1.26,0.228,0
1509,3,Neimenggu,2009,408871292.1,7227,37,73,0.037,0.106,0.125,0.041,0.053,0.045,0.784,0.366,0
1510,3,Neimenggu,2010,464827282.6,8342.1,62,85,0.032,0.107,0.09,0.046,0.052,0.047,0.847,0.225,0
1511,3,Neimenggu,2011,513846056.4,9610.8,97,117,0.034,0.109,0.11,0.052,0.055,0.051,0.817,0.243,0
1512,3,Neimenggu,2012,523005877.2,10638.9,87,166,0.038,0.113,0.078,0.063,0.059,0.049,0.636,0.34,0
1513,3,Neimenggu,2013,551492270.4,11584.9,174,185,0.04,0.117,0.087,0.049,0.064,0.053,0.641,0.379,0
1514,3,Neimenggu,2014,542966399.2,12377.3,183,272,0.034,0.116,0.093,0.057,0.056,0.055,0.646,0.213,0
1515,3,Neimenggu,2015,536320079.4,13062.7,241,392,0.039,0.126,0.084,0.076,0.061,0.054,0.407,0.316,0
1516,3,Neimenggu,2016,545922001,13879,282,492,0.042,0.126,0.086,0.056,0.067,0.055,0.479,0.282,0
1517,3,Neimenggu,2017,577613927,15009.9,313,808,0.04,0.127,0.12,0.056,0.069,0.056,0.82,0.273,0
1518,3,Neimenggu,2018,604939346.3,16252.9,518,1002,0.046,0.135,0.113,0.061,0.074,0.065,0.688,0.39,0
1519,3,Neimenggu,2019,635633195,17479.4,637,1469,0.047,0.137,0.127,0.057,0.074,0.061,0.895,0.333,0
1520,3,Neimenggu,2020,652283065.7,17623.4,710,1865,0.042,0.131,0.109,0.059,0.065,0.057,0.918,0.091,0
1521,3,Neimenggu,2021,728470939.3,21584.8,851,1750,0.046,0.144,0.108,0.042,0.07,0.066,0.464,0.253,0
1522,3,Neimenggu,2022,757028723,23795.7,966,1790,0.047,0.142,0.108,0.043,0.071,0.065,0.465,0.257,0
1523,3,Neimenggu,2023,837966687.8,25020.5,1374,2160,0.047,0.146,0.108,0.044,0.07,0.064,0.487,0.255,0
1100,4,Beijing,2000,43133076.5,3328,425,297,0.022,0.068,0.238,0.01,0.035,0.032,12.104,0.226,0
1101,4,Beijing,2001,43311434.79,3935.4,425,304,0.023,0.072,0.155,0.01,0.039,0.031,8.844,0.202,0
1102,4,Beijing,2002,45715663.79,4634.9,594,363,0.025,0.078,0.155,0.011,0.038,0.035,7.485,0.254,0
1103,4,Beijing,2003,49524960.71,5400.1,715,378,0.025,0.076,0.128,0.012,0.04,0.034,6.578,0.141,0
1104,4,Beijing,2004,54575775.19,6424.1,785,391,0.029,0.081,0.108,0.017,0.039,0.037,6.016,0.225,0
1105,4,Beijing,2005,60665551.72,7327.4,1047,435,0.027,0.084,0.117,0.013,0.043,0.038,5.169,0.167,0
